Title,Artist,Album Art
Don't Stop Me Now - Remastered,Queen,https://i.scdn.co/image/2e82bac8c64908ef1504e8391362c030b0fdad2e
We Are The Champions,Queen,https://i.scdn.co/image/3c7c145b8912e8553f852ab8e6460dd1aa159ae0
Can't Stop,Red Hot Chili Peppers,https://i.scdn.co/image/b14027718a46fb43d8c6d8c88092fba9f75d9d21
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,https://i.scdn.co/image/8edb90af23ffa93a1a6ac7f6c894e25aa4cb75d1
Rise,Katy Perry,https://i.scdn.co/image/23d3f3c81664ad06a4bf9f08414911f9c3029c61
Rise Up,Andra Day,https://i.scdn.co/image/419c0ab70cf8f9481178415d5c783bf856a99c6d
Eye of the Tiger,Survivor,https://i.scdn.co/image/a98784f4272d2d99ec0f0438a4402c47cd323fe2
High Hopes,Panic! At The Disco,https://i.scdn.co/image/5a0c73915586db4a6acf0a92eb7c503877f1c9a4
Higher Love - Single Version,Steve Winwood,https://i.scdn.co/image/0e21f30879dd383c036ee88da45e73a75a5770c4
I Will Survive - Extended Version,Gloria Gaynor,https://i.scdn.co/image/c6a517b6eb56faa2db2ebfc6c74ff9792607c055
I Think We're Alone Now,Tiffany,https://i.scdn.co/image/be8ab6942bf0a581a27b6e6fc8cd469c9bf72751
Only In My Dreams,Debbie Gibson,https://i.scdn.co/image/eaa6ee2de87ce1749553908381c17026a511b4c5
Oops!...I Did It Again,Britney Spears,https://i.scdn.co/image/9e037d40a46ccc30791f74958ffd88b6b6efa283
Shake It Off,Taylor Swift,https://i.scdn.co/image/32aa1fd4f61e0e8e089ff2f95632f2463231d5b1
So Emotional,Whitney Houston,https://i.scdn.co/image/0cae12b917772272ff492b955c976ac35c73eb00
Call Me Maybe,Carly Rae Jepsen,https://i.scdn.co/image/3c8ecd66a7e8a70d3ec7ae961ce823ac76f03539
Say You'll Be There,Spice Girls,https://i.scdn.co/image/f9dac1591869800af56100db4d69f28998cf1f06
Life During Wartime - 2005 Remastered Version,Talking Heads,https://i.scdn.co/image/38a61c1fda1a99e89567afc06797be6dc3c59128
Bad To The Bone,George Thorogood & The Destroyers,https://i.scdn.co/image/fa2356942329bbe422b3f9f3e6a637a06e0a263a
Come Alive,Hugh Jackman,https://i.scdn.co/image/32dbd227fc8cc94fb7ec9ab5bddc8e9ca72db125
Best of You,Foo Fighters,https://i.scdn.co/image/b1bd8a1eed252877094236bb2131124d01b91815
Fight Song,Rachel Platten,https://i.scdn.co/image/5c37d9b7e279611d48b5d3d484d017cbed290c42
Chicken Fried,Zac Brown Band,https://i.scdn.co/image/f2d3a81e33e9f2b8f0f87e14be0d68d46f6166ed
Thunderstruck,AC/DC,https://i.scdn.co/image/b48aed6518256335ebb92ef79ce9d52ac6b2955b
Smooth Criminal,Alien Ant Farm,https://i.scdn.co/image/3bf4181e5b2f4b3728fa39e502310bf074a34cfa
Right Now,Van Halen,https://i.scdn.co/image/f0c1bb6c5fe3d24137c2fbe696f815c107f63aa7
That Was A Crazy Game of Poker,O.A.R.,https://i.scdn.co/image/b58b8e3877cb921a294258881b7e2324a3bbbab9
Lose Yourself - Soundtrack Version,Eminem,https://i.scdn.co/image/771a7864ac12bdd3b12c4a7218a5bdd596220fea
Last Resort,Papa Roach,https://i.scdn.co/image/eae7ff9b44595bcc1802f2fe857b77ef027d7dcf
Let's Get It Started - Spike Mix,The Black Eyed Peas,https://i.scdn.co/image/a9ac3c93896cd3fff1f4ff7773ee1b3f797db2e7
Island In The Sun,Weezer,https://i.scdn.co/image/58a82347217a9a21f2bc4e6c91c3ac4e27a0a570
This Is How We Do It,Montell Jordan,https://i.scdn.co/image/c527132e2c157e23a2185e9d3fb84b271fed392c
Harder To Breathe,Maroon 5,https://i.scdn.co/image/a55912da6dd0f63a6b506b70510a83999353730e
I Want It All - Remastered 2011,Queen,https://i.scdn.co/image/3e25217229ef190a2aeb2f94370a1d82d8913d56
Hair Of The Dog,Nazareth,https://i.scdn.co/image/3e2458781bba96613a725f921a5be431082a8fa0
Good To Be Alive (Hallelujah),Andy Grammer,https://i.scdn.co/image/082cbb2457dfddff85770e669e1f388a72f94787
Biggest Cat in Town,Frankie Moreno,https://i.scdn.co/image/9acc02955a6b7744887e0124aa297a5afe3f665a
Whatever It Takes,Imagine Dragons,https://i.scdn.co/image/5232b1dcb43188537b7f9f1e77cad1f9a38870d1
Bright Lights,Gary Clark Jr.,https://i.scdn.co/image/1beba297ea267e1edb5168f24628ae6c927d1da0
